UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well),2013-01 Prod - Oil,2013-02 Prod - Oil,2013-03 Prod - Oil,2013-04 Prod - Oil,2013-05 Prod - Oil,2013-06 Prod - Oil,2013-07 Prod - Oil,2013-08 Prod - Oil,2013-09 Prod - Oil,2013-10 Prod - Oil,2013-11 Prod - Oil,2013-12 Prod - Oil,2014-01 Prod - Oil,2014-02 Prod - Oil,2014-03 Prod - Oil,2014-04 Prod - Oil,2014-05 Prod - Oil,2014-06 Prod - Oil,2014-07 Prod - Oil,2014-08 Prod - Oil,2014-09 Prod - Oil,2014-10 Prod - Oil,2014-11 Prod - Oil,2014-12 Prod - Oil,2015-01 Prod - Oil,2015-02 Prod - Oil,2015-03 Prod - Oil,2015-04 Prod - Oil,2015-05 Prod - Oil,2015-06 Prod - Oil,2015-07 Prod - Oil,2015-08 Prod - Oil,2015-09 Prod - Oil,2015-10 Prod - Oil,2015-11 Prod - Oil,2015-12 Prod - Oil,2016-01 Prod - Oil,2016-02 Prod - Oil,2016-03 Prod - Oil,2016-04 Prod - Oil,2016-05 Prod - Oil,2016-06 Prod - Oil,2016-07 Prod - Oil,2016-08 Prod - Oil,2016-09 Prod - Oil,2016-10 Prod - Oil,2016-11 Prod - Oil,2016-12 Prod - Oil,2017-01 Prod - Oil,2017-02 Prod - Oil,2017-03 Prod - Oil,2017-04 Prod - Oil,2017-05 Prod - Oil,2017-06 Prod - Oil,2017-07 Prod - Oil,2017-08 Prod - Oil,2017-09 Prod - Oil,2017-10 Prod - Oil,2017-11 Prod - Oil,2017-12 Prod - Oil,2013-01 Prod - Gas,2013-02 Prod - Gas,2013-03 Prod - Gas,2013-04 Prod - Gas,2013-05 Prod - Gas,2013-06 Prod - Gas,2013-07 Prod - Gas,2013-08 Prod - Gas,2013-09 Prod - Gas,2013-10 Prod - Gas,2013-11 Prod - Gas,2013-12 Prod - Gas,2014-01 Prod - Gas,2014-02 Prod - Gas,2014-03 Prod - Gas,2014-04 Prod - Gas,2014-05 Prod - Gas,2014-06 Prod - Gas,2014-07 Prod - Gas,2014-08 Prod - Gas,2014-09 Prod - Gas,2014-10 Prod - Gas,2014-11 Prod - Gas,2014-12 Prod - Gas,2015-01 Prod - Gas,2015-02 Prod - Gas,2015-03 Prod - Gas,2015-04 Prod - Gas,2015-05 Prod - Gas,2015-06 Prod - Gas,2015-07 Prod - Gas,2015-08 Prod - Gas,2015-09 Prod - Gas,2015-10 Prod - Gas,2015-11 Prod - Gas,2015-12 Prod - Gas,2016-01 Prod - Gas,2016-02 Prod - Gas,2016-03 Prod - Gas,2016-04 Prod - Gas,2016-05 Prod - Gas,2016-06 Prod - Gas,2016-07 Prod - Gas,2016-08 Prod - Gas,2016-09 Prod - Gas,2016-10 Prod - Gas,2016-11 Prod - Gas,2016-12 Prod - Gas,2017-01 Prod - Gas,2017-02 Prod - Gas,2017-03 Prod - Gas,2017-04 Prod - Gas,2017-05 Prod - Gas,2017-06 Prod - Gas,2017-07 Prod - Gas,2017-08 Prod - Gas,2017-09 Prod - Gas,2017-10 Prod - Gas,2017-11 Prod - Gas,2017-12 Prod - Gas,2013-01 Prod - Condensate,2013-02 Prod - Condensate,2013-03 Prod - Condensate,2013-04 Prod - Condensate,2013-05 Prod - Condensate,2013-06 Prod - Condensate,2013-07 Prod - Condensate,2013-08 Prod - Condensate,2013-09 Prod - Condensate,2013-10 Prod - Condensate,2013-11 Prod - Condensate,2013-12 Prod - Condensate,2014-01 Prod - Condensate,2014-02 Prod - Condensate,2014-03 Prod - Condensate,2014-04 Prod - Condensate,2014-05 Prod - Condensate,2014-06 Prod - Condensate,2014-07 Prod - Condensate,2014-08 Prod - Condensate,2014-09 Prod - Condensate,2014-10 Prod - Condensate,2014-11 Prod - Condensate,2014-12 Prod - Condensate,2015-01 Prod - Condensate,2015-02 Prod - Condensate,2015-03 Prod - Condensate,2015-04 Prod - Condensate,2015-05 Prod - Condensate,2015-06 Prod - Condensate,2015-07 Prod - Condensate,2015-08 Prod - Condensate,2015-09 Prod - Condensate,2015-10 Prod - Condensate,2015-11 Prod - Condensate,2015-12 Prod - Condensate,2016-01 Prod - Condensate,2016-02 Prod - Condensate,2016-03 Prod - Condensate,2016-04 Prod - Condensate,2016-05 Prod - Condensate,2016-06 Prod - Condensate,2016-07 Prod - Condensate,2016-08 Prod - Condensate,2016-09 Prod - Condensate,2016-10 Prod - Condensate,2016-11 Prod - Condensate,2016-12 Prod - Condensate,2017-01 Prod - Condensate,2017-02 Prod - Condensate,2017-03 Prod - Condensate,2017-04 Prod - Condensate,2017-05 Prod - Condensate,2017-06 Prod - Condensate,2017-07 Prod - Condensate,2017-08 Prod - Condensate,2017-09 Prod - Condensate,2017-10 Prod - Condensate,2017-11 Prod - Condensate,2017-12 Prod - Condensate,2013-01 Prod - BOE Prod,2013-02 Prod - BOE Prod,2013-03 Prod - BOE Prod,2013-04 Prod - BOE Prod,2013-05 Prod - BOE Prod,2013-06 Prod - BOE Prod,2013-07 Prod - BOE Prod,2013-08 Prod - BOE Prod,2013-09 Prod - BOE Prod,2013-10 Prod - BOE Prod,2013-11 Prod - BOE Prod,2013-12 Prod - BOE Prod,2014-01 Prod - BOE Prod,2014-02 Prod - BOE Prod,2014-03 Prod - BOE Prod,2014-04 Prod - BOE Prod,2014-05 Prod - BOE Prod,2014-06 Prod - BOE Prod,2014-07 Prod - BOE Prod,2014-08 Prod - BOE Prod,2014-09 Prod - BOE Prod,2014-10 Prod - BOE Prod,2014-11 Prod - BOE Prod,2014-12 Prod - BOE Prod,2015-01 Prod - BOE Prod,2015-02 Prod - BOE Prod,2015-03 Prod - BOE Prod,2015-04 Prod - BOE Prod,2015-05 Prod - BOE Prod,2015-06 Prod - BOE Prod,2015-07 Prod - BOE Prod,2015-08 Prod - BOE Prod,2015-09 Prod - BOE Prod,2015-10 Prod - BOE Prod,2015-11 Prod - BOE Prod,2015-12 Prod - BOE Prod,2016-01 Prod - BOE Prod,2016-02 Prod - BOE Prod,2016-03 Prod - BOE Prod,2016-04 Prod - BOE Prod,2016-05 Prod - BOE Prod,2016-06 Prod - BOE Prod,2016-07 Prod - BOE Prod,2016-08 Prod - BOE Prod,2016-09 Prod - BOE Prod,2016-10 Prod - BOE Prod,2016-11 Prod - BOE Prod,2016-12 Prod - BOE Prod,2017-01 Prod - BOE Prod,2017-02 Prod - BOE Prod,2017-03 Prod - BOE Prod,2017-04 Prod - BOE Prod,2017-05 Prod - BOE Prod,2017-06 Prod - BOE Prod,2017-07 Prod - BOE Prod,2017-08 Prod - BOE Prod,2017-09 Prod - BOE Prod,2017-10 Prod - BOE Prod,2017-11 Prod - BOE Prod,2017-12 Prod - BOE Prod
100152607603W502,Gas,Marten Hills,Colony Undefined,Mannville,Suspended,Suspended,791,791,-114.349976,55.61828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100152607603W503,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,791,791,-114.349976,55.61828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100072707603W500,Gas,Marten Hills,Wabiskaw M,Paleozoic,Suspended,Suspended,799,799,-114.372135,55.612076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100072707603W502,Gas,Marten Hills,Colony Undefined,Paleozoic,Testing,Testing,799,799,-114.372135,55.612076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100072707603W503,Gas,Marten Hills,Second White Specs Undefined,Paleozoic,Suspended,Suspended,799,799,-114.372135,55.612076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100132707603W500,Gas,Marten Hills,Wabiskaw M,Mannville,Suspended,Suspended,773,764.38,-114.385363,55.618233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100092807603W500,Gas,Marten Hills,Wabiskaw M,Mannville,Suspended,Suspended,775,775,-114.395646,55.614875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100092807603W502,Gas,Marten Hills,Viking Undefined,Mannville,Suspended,Suspended,775,775,-114.395646,55.614875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100063007603W502,Gas,Marten Hills,Commingled Pool 036,Mannville,Suspended,Suspended,749,749,-114.455173,55.612556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
102063007603W500,Gas,Marten Hills,Viking L,Mannville,Suspended,Suspended,708.7,708.7,-114.454871,55.612548,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100133107603W500,Gas,Marten Hills,Wabiskaw HH,Mannville,Suspended,Suspended,673.4,673.4,-114.461736,55.632679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100013307603W500,Gas,Marten Hills,Wabiskaw M,Banff,Suspended,Suspended,740,740,-114.395778,55.624197,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100013307603W502,Gas,Marten Hills,Grand Rapids C6C,Banff,Suspended,Suspended,740,740,-114.395778,55.624197,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100053507603W503,Gas,Marten Hills,Clearwater C2C,McMurray,Pumping,Active,726,726,-114.357738,55.626972,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094666448,0.099007564,0.094666448,0.080164596,0.079287422,0.07298392,0.076211617,0.076553373,0.075102808,0.059921241,0.072513056,0.059351648,0.01856875,0.03001758,0.066300689,0.033313628,0.110045474,0.064508368,0.033719938,0.045,0.0833,0.0066,0.2187,0.0956,0.1193,0.1411,0.1245,0.1373,0.1288,0.0963,0.1419,0.0876,0.0846,0.1202,0.1101,0.1301,0.0862,0.0671,0.087,0.0812,0.0637,0.0444,0.0649,0.0647,0.0759,0.0725,0.0792,0.0793,0.0433,0.0254,0.1062,0.0506,0.0488,0.0338,0.0408,0.0367,0.0496,0.0502,0.0808,0.0589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,15.77774129,16.50126071,15.77774129,13.360766,13.21457032,12.16398667,12.70193613,12.75889548,12.51713467,9.986873548,12.08550933,9.89194129,3.094791613,5.00293,11.05011484,5.552271333,18.34091226,10.75139467,5.619989677,7.5,13.89,1.1,36.45,15.93,19.88,23.52,20.75,22.88,21.47,16.05,23.66,14.6,14.11,20.03,18.34,21.68,14.37,11.18,14.51,13.54,10.61,7.4,10.82,10.78,12.65,12.08,13.2,13.21,7.21,4.23,17.7,8.44,8.13,5.63,6.8,6.11,8.26,8.37,13.46,9.82
100063607603W500,Unspecified,Marten Hills,Unspecified,Wabiskaw-McMurray,Drilled And Cased,Standing Cased,721,721,-114.329557,55.62706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100121307604W500,Disposal - Water,Marten Hills,Wabiskaw Z,Mannville,Suspended,Suspended,832.5,832.5,-114.490886,55.58592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100121307604W502,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,832.5,832.5,-114.490886,55.58592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100071407604W500,Gas,Marten Hills,Grand Rapids S4S,Wabiskaw,Suspended,Suspended,849,849,-114.500887,55.582032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100092307604W503,Unspecified,Marten Hills,Unspecified,Banff,Drilled And Cased,Standing Cased,806,806,-114.498807,55.601438,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100092307604W504,Gas,Marten Hills,Grand Rapids S4S,Banff,Suspended,Suspended,806,806,-114.498807,55.601438,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
102092307604W500,Unspecified,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,777,777,-114.498207,55.602076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102092307604W502,Gas,Marten Hills,Commingled Pool 036,Clearwater,Suspended,Suspended,777,777,-114.498207,55.602076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062769209,0.052341579,0.091590643,0.06886386,0.04328911,0.027310112,0.015606863,0.003759317,0,0,0,0,0.046137077,0.000756746,0.087831325,0.11830458,0,0,0.025403872,0.0169,0.0002,0.0052,0.0018,0.0055,0.0076,0,0,0.0004,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,10.46153484,8.723596429,15.2651071,11.47731,7.214851613,4.551685333,2.601143871,0.626552903,0,0,0,0,7.689512903,0.126124286,14.63855419,19.71743,0,0,4.23397871,2.81,0.04,0.87,0.29,0.91,1.27,0,0,0.06,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100122407604W500,Gas,Marten Hills,Wabiskaw Z,Mannville,Suspended,Suspended,777,777,-114.49134,55.601244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100122407604W502,Gas,Marten Hills,Commingled Pool 036,Mannville,Suspended,Suspended,777,777,-114.49134,55.601244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020847124,0.06798099,0.105830481,0.078398856,0.054339225,0,0,0,0,0,0,0,0.06800947,0.09534996,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,3.474520645,11.330165,17.63841355,13.066476,9.056537419,0,0,0,0,0,0,0,11.33491161,15.89166,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100042507604W500,Gas,Marten Hills,Wabiskaw Z,Clearwater,Suspended,Suspended,726,726,-114.486763,55.609408,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100012607604W502,Gas,Marten Hills,Commingled Pool 036,Wabiskaw,Suspended,Suspended,752,752,-114.498923,55.609444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100012607604W503,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,752,752,-114.498923,55.609444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100140607724W403,Gas,Marten Hills,Commingled Pool 019,Mannville,Test Completed,Testing,762.5,762.5,-113.722595,55.646542,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
