UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well)
100050907425W402,Gas,Marten Hills,Commingled Pool 024,Wabamun,Suspended,Suspended,583.5,583.5,-113.797425,55.395109,0
100081707425W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,601,601,-113.803957,55.406429,0
100161807425W403,Gas,Marten Hills,Commingled Pool 009,Wabamun,Suspended,Suspended,619.5,619.5,-113.832169,55.416269,0
102161807425W400,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Suspended,Suspended,617,617,-113.832256,55.416512,0
102161807425W402,Gas,Marten Hills,Commingled Pool 009,Wabiskaw,Suspended,Suspended,617,617,-113.832256,55.416512,0
103161807425W400,Bitumen,Marten Hills,Clearwater Undefined,Wabiskaw,Suspended,Suspended,620,620,-113.831971,55.416412,0
100112907425W402,Gas,Marten Hills,Commingled Pool 024,Unspecified,Flowing,Active,623.3,623.3,-113.817327,55.440918,1.73
102112907425W400,Gas,Marten Hills,Commingled Pool 024,Unspecified,Suspended,Suspended,600,600,-113.818328,55.44257,0
102112907425W402,Gas,Marten Hills,Commingled Pool 024,Unspecified,Suspended,Suspended,600,600,-113.818328,55.44257,0
100023007425W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,663,663,-113.83465,55.43446,0
100023007425W402,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,663,663,-113.83465,55.43446,0
100113007425W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,659.3,659.3,-113.846163,55.44248,0
100133107425W400,Bitumen,Marten Hills,Clearwater Undefined,Clearwater,Suspended,Suspended,620,620,-113.846206,55.458183,0
100063207425W403,Gas,Marten Hills,Commingled Pool 024,Unspecified,Suspended,Suspended,611,611,-113.819236,55.451298,0
100063207425W404,Gas,Marten Hills,Commingled Pool 024,Unspecified,Suspended,Suspended,611,611,-113.819236,55.451298,0
100143207425W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,617,617,-113.817921,55.457462,0
100070207426W400,Gas,Marten Hills,Clearwater CC,Mannville,Suspended,Suspended,599,599,-113.888178,55.379515,0
100070207426W402,Gas,Marten Hills,Commingled Pool 009,Mannville,Suspended,Suspended,599,599,-113.888178,55.379515,0
102070207426W400,Gas,Marten Hills,Commingled Pool 001,McMurray,Suspended,Suspended,586,586,-113.890107,55.37938,0
100040507426W402,Gas,Marten Hills,Grand Rapids Undefined,Wabamun,Suspended,Suspended,639,639,-113.974778,55.375161,0
100091107426W400,Gas,Marten Hills,Grand Rapids OOO,Mannville,Suspended,Suspended,657,607.54,-113.887802,55.396903,0
100091107426W402,Gas,Marten Hills,Commingled Pool 009,Mannville,Suspended,Suspended,657,607.54,-113.887802,55.396903,0
100121207426W400,Gas,Marten Hills,Grand Rapids OOO,Mannville,Suspended,Suspended,598,598,-113.872923,55.398977,0
100121207426W402,Gas,Marten Hills,Grand Rapids W3W,Mannville,Suspended,Suspended,598,598,-113.872923,55.398977,0
100021307426W403,Gas,Marten Hills,Clearwater Undefined,Mannville,Suspended,Suspended,611.5,611.5,-113.861849,55.403438,0
100061907426W400,Gas,Marten Hills,Wabiskaw TT,Wabamun,Suspended,Suspended,714,714,-113.99791,55.421824,0
100132007426W400,Gas,Marten Hills,Wabiskaw Undefined,Wabamun,Suspended,Suspended,690,672.01,-113.978224,55.430432,0
100162507426W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,672,672,-113.859017,55.44275,0
100122707426W405,Gas,Marten Hills,Grand Rapids J2J,Mannville,Suspended,Suspended,785,785,-113.925011,55.442021,0
100122707426W407,Gas,Marten Hills,Grand Rapids X3X,Mannville,Suspended,Suspended,785,785,-113.925011,55.442021,0
100122707426W408,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,785,785,-113.925011,55.442021,0
100103607426W400,Gas,Marten Hills,Grand Rapids LL,Mannville,Suspended,Suspended,634,634,-113.863594,55.456155,0
100163607426W400,Bitumen,Marten Hills,Clearwater Undefined,Clearwater,Pumping,Active,1221,589.71,-113.864424,55.453908,0.18
100160307401W500,Gas,Marten Hills,Commingled Pool 017,Wabamun,Suspended,Suspended,652,652,-114.058417,55.387592,0
100121007401W503,Gas,Marten Hills,Commingled Pool 017,Wabiskaw,Suspended,Suspended,644,644,-114.078712,55.398166,0
100111307401W500,Gas,Marten Hills,Commingled Pool 033,Wabamun,Suspended,Suspended,718,718,-114.01982,55.412993,0
100072407401W500,Gas,Marten Hills,Commingled Pool 033,Wabamun,Suspended,Suspended,727,688.77,-114.009862,55.421944,0
100140507402W500,Gas,Marten Hills,Grand Rapids JJJ,Wabamun,Suspended,Suspended,652,652,-114.274393,55.385838,0
100140507402W502,Gas,Marten Hills,Wabiskaw Undefined,Wabamun,Suspended,Suspended,652,652,-114.274393,55.385838,0
100121207402W500,Gas,Marten Hills,Wabiskaw RR,Mannville,Suspended,Suspended,606,606,-114.178103,55.396996,0
