UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well)
100041907524W402,Gas,Marten Hills,Grand Rapids B2B,Mannville,Suspended,Suspended,656,656,-113.726811,55.506563,0
100082107524W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,622.5,622.5,-113.655344,55.51033,2.65
100072207524W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,689.8,689.8,-113.63772,55.509932,7.75
100142207524W403,Gas,Marten Hills,Grand Rapids X6X,Mannville,Suspended,Suspended,654,654,-113.645996,55.516559,0
100012407524W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Suspended,Suspended,615,615,-113.581893,55.507332,0
100112607524W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,715,666.91,-113.617408,55.526608,0
100112607524W402,Gas,Marten Hills,Wabiskaw V,Wabamun,Flowing,Active,715,666.91,-113.617408,55.526608,12.48
100142607524W400,Gas,Marten Hills,McMurray I,Mannville,Suspended,Suspended,665,665,-113.621853,55.533448,0
100052707524W400,Gas,Marten Hills,Mannville Undefined,Mannville,Suspended,Suspended,665,665,-113.652725,55.524717,0
100052707524W402,Gas,Marten Hills,Sparky Undefined,Mannville,Suspended,Suspended,665,665,-113.652725,55.524717,0
100052707524W403,Gas,Marten Hills,Grand Rapids Undefined,Mannville,Suspended,Suspended,665,665,-113.652725,55.524717,0
100053207524W402,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,753.5,753.5,-113.705637,55.54044,0
100163407524W400,Gas,Marten Hills,McMurray I,Wabamun,Suspended,Suspended,708,708,-113.633789,55.546327,0
100163407524W402,Gas,Marten Hills,Clearwater Undefined,Wabamun,Test Completed,Testing,708,708,-113.633789,55.546327,0
100063507524W402,Gas,Marten Hills,Grand Rapids W6W,Wabamun,Suspended,Suspended,678,678,-113.6156,55.540646,0
100073507524W400,Gas,Marten Hills,Wabiskaw V,Mannville,Suspended,Suspended,661,661,-113.60987,55.54073,0
100113607524W400,Gas,Marten Hills,Wabiskaw V,Mannville,Suspended,Suspended,662,662,-113.591475,55.54114,0
100113607524W402,Gas,Marten Hills,Commingled Pool 028,Mannville,Suspended,Suspended,662,662,-113.591475,55.54114,0
102113607524W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,677,677,-113.59086,55.54293,0
100130407525W402,Disposal - Water,Marten Hills,Colony Undefined,Mannville,Not Applicable,Active,610,610,-113.830135,55.475037,0
100050507525W400,Bitumen,Marten Hills,Clearwater Undefined,Clearwater,Suspended,Suspended,616,616,-113.857028,55.465797,0
100090507525W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,621,594.86,-113.842565,55.47327,0
100070607525W400,Gas,Marten Hills,Grand Rapids D6D,Mannville,Suspended,Suspended,646.5,646.5,-113.872212,55.4654,0
100070607525W403,Gas,Marten Hills,Clearwater Undefined,Mannville,Suspended,Suspended,646.5,646.5,-113.872212,55.4654,0
100160607525W400,Bitumen,Marten Hills,Clearwater Undefined,Clearwater,Suspended,Suspended,644,644,-113.867681,55.471833,0
100090707525W400,Bitumen,Marten Hills,Clearwater Undefined,Clearwater,Suspended,Suspended,621,621,-113.866185,55.484671,0
100050807525W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,608.5,602.25,-113.85412,55.478403,0
100100807525W400,Gas,Marten Hills,Grand Rapids EEE,Mannville,Suspended,Suspended,605,605,-113.844618,55.484444,0
102100807525W400,Bitumen,Marten Hills,Lower Grand Rapids,Mannville,Suspended,Suspended,595,595,-113.84533,55.484444,0
100021707525W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,617.2,617.2,-113.845192,55.491852,16.62
100061707525W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,607,607,-113.854714,55.493662,0
100101707525W400,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,612,612,-113.843373,55.499943,0
100101707525W402,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,612,612,-113.843373,55.499943,0
100101707525W403,Gas,Marten Hills,Grand Rapids RRR,Mannville,Suspended,Suspended,612,612,-113.843373,55.499943,0
100051807525W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,641,629.38,-113.880114,55.492678,0
100011907525W400,Gas,Marten Hills,Grand Rapids LLL,Wabamun,Suspended,Suspended,630.2,630.2,-113.864769,55.505088,0
100011907525W402,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,630.2,630.2,-113.864769,55.505088,0
100101907525W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,690,626.26,-113.863826,55.515784,0
100042007525W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,603,603,-113.854926,55.508041,0
100122007525W400,Gas,Marten Hills,Commingled Pool 001,McMurray,Flowing,Active,635,635,-113.854918,55.51481,5.18
100062107525W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,666,666,-113.825741,55.509915,8.8
100112207525W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,657.5,657.5,-113.80002,55.513531,0.03
100052707525W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Flowing,Active,656,656,-113.804664,55.524768,8.71
100122707525W400,Gas,Marten Hills,Clearwater J,Mannville,Suspended,Suspended,670,670,-113.804349,55.529721,0
100162707525W400,Gas,Marten Hills,Clearwater J,Mannville,Suspended,Suspended,704,704,-113.78801,55.531501,0
100162707525W402,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,704,704,-113.78801,55.531501,0
100162707525W403,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,704,704,-113.78801,55.531501,0
100032807525W400,Unspecified,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,1417,633.19,-113.81504,55.525701,0
100082807525W400,Gas,Marten Hills,Clearwater J,Mannville,Suspended,Suspended,655,655,-113.814727,55.525704,0
100082807525W402,Gas,Marten Hills,Commingled Pool 007,Mannville,Suspended,Suspended,655,655,-113.814727,55.525704,0
100082807525W403,Gas,Marten Hills,Clearwater Undefined,Mannville,Suspended,Suspended,655,655,-113.814727,55.525704,0
100033007525W400,Bitumen,Marten Hills,Clearwater Undefined,Clearwater,Suspended,Suspended,1445,613.81,-113.864436,55.526124,0
100083007525W400,Bitumen,Marten Hills,Clearwater Undefined,Mannville,Suspended,Suspended,639.8,622.88,-113.865389,55.526134,0
100093107525W400,Gas,Marten Hills,Commingled Pool 029,Mannville,Flowing,Active,665,665,-113.866473,55.542024,1.24
100093107525W402,Gas,Marten Hills,Grand Rapids V,Mannville,Suspended,Suspended,665,665,-113.866473,55.542024,0
100113207525W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,666.9,666.9,-113.851617,55.542611,1.19
102113207525W402,Gas,Marten Hills,Grand Rapids S3S,Clearwater,Suspended,Suspended,606,606,-113.851508,55.542746,0
100093407525W403,Gas,Marten Hills,Grand Rapids P4P,Mannville,Suspended,Suspended,742,742,-113.786818,55.54208,0
100103507525W400,Gas,Marten Hills,Clearwater J,Mannville,Suspended,Suspended,746,746,-113.770755,55.540984,0
100103507525W402,Gas,Marten Hills,Grand Rapids C7C,Mannville,Suspended,Suspended,746,746,-113.770755,55.540984,0
100082007526W400,Gas,Marten Hills,Commingled Pool 022,Clearwater,Suspended,Suspended,755,755,-113.995881,55.511864,0
100062107526W400,Gas,Marten Hills,Commingled Pool 022,Clearwater,Suspended,Suspended,744,744,-113.978447,55.511872,0
100062107526W402,Unspecified,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,744,744,-113.978447,55.511872,0
100112107526W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,787,787,-113.980999,55.513854,0
100032607526W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,Wabiskaw,Suspended,Suspended,814,806.82,-113.933905,55.522855,0
102102607526W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,782,782,-113.925516,55.527146,0
100132607526W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,817,778.6,-113.933874,55.528158,0
100062707526W400,Bitumen,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,824.6,796.12,-113.96118,55.522327,0
100082707526W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,Wabiskaw,Suspended,Suspended,824,820.82,-113.945841,55.522363,0
100072807526W400,Gas,Marten Hills,Commingled Pool 022,Wabamun,Suspended,Suspended,802.9,802.9,-113.976786,55.525701,0
100072807526W402,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,802.9,802.9,-113.976786,55.525701,0
100102807526W400,Gas,Marten Hills,Commingled Pool 022,Mannville,Suspended,Suspended,842,816.56,-113.975894,55.526412,0
100102807526W402,Gas,Marten Hills,Commingled Pool 022,Mannville,Suspended,Suspended,842,816.56,-113.975894,55.526412,0
100082907526W400,Unspecified,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,808,808,-113.993629,55.525333,0
100063307526W400,Unspecified,Marten Hills,Unspecified,Unspecified,Drilled And Cased,Standing Cased,878.1,878.1,-113.98168,55.538961,0
102063307526W400,Gas,Marten Hills,Commingled Pool 001,McMurray,Suspended,Suspended,843,843,-113.981642,55.538833,0
103063307526W400,Gas,Marten Hills,Commingled Pool 022,Mannville,Suspended,Suspended,843,843,-113.981637,55.538081,0
100083307526W402,Gas,Marten Hills,Commingled Pool 022,Clearwater,Suspended,Suspended,815,815,-113.970184,55.539681,0
100053507526W400,Gas,Marten Hills,Commingled Pool 022,Mannville,Suspended,Suspended,803,803,-113.933867,55.539098,0
100053507526W402,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,803,803,-113.933867,55.539098,0
100050307501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,644,619.3,-114.076798,55.466498,0
100080307501W500,Gas,Marten Hills,Grand Rapids H4H,Mannville,Suspended,Suspended,645,645,-114.053845,55.466916,0
100080307501W502,Gas,Marten Hills,Grand Rapids F,Mannville,Suspended,Suspended,645,645,-114.053845,55.466916,0
100080307501W503,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,645,645,-114.053845,55.466916,0
100070407501W500,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,645.3,645.3,-114.089039,55.466859,0
100090407501W500,Gas,Marten Hills,Grand Rapids F,Wabamun,Suspended,Suspended,640.2,640.2,-114.084674,55.470751,0
100090407501W503,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,640.2,640.2,-114.084674,55.470751,0
100070507501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,641.5,641.5,-114.116396,55.467353,0
100080707501W500,Gas,Marten Hills,Grand Rapids F,Mannville,Flowing,Active,682,682,-114.136098,55.481217,2.83
102080707501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,680,680,-114.134596,55.481623,0.58
102070807501W502,Gas,Marten Hills,Commingled Pool 001,Mannville,Suspended,Suspended,683,683,-114.11452,55.480795,0.09
102010907501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,646.5,646.5,-114.085218,55.478081,0
100151507501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,674,674,-114.061248,55.50219,0
100161507501W500,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,683.5,683.5,-114.059682,55.502328,0
100161507501W502,Gas,Marten Hills,Commingled Pool 006,Wabamun,Flowing,Active,683.5,683.5,-114.059682,55.502328,4.55
100161507501W503,Gas,Marten Hills,Commingled Pool 006,Wabamun,Suspended,Suspended,683.5,683.5,-114.059682,55.502328,0
100161607501W500,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,695,695,-114.082706,55.501311,0
100091707501W500,Gas,Marten Hills,Commingled Pool 001,McMurray,Flowing,Active,686,686,-114.110172,55.499896,5.41
100111807501W500,Gas,Marten Hills,Commingled Pool 030,Mannville,Suspended,Suspended,731,731,-114.145753,55.500998,0
100111807501W502,Gas,Marten Hills,Commingled Pool 005,Mannville,Suspended,Suspended,731,731,-114.145753,55.500998,0
100141807501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,731.5,731.5,-114.145337,55.501757,0
100071907501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Pumping,Active,731,731,-114.13767,55.509687,0.15
100081907501W500,Gas,Marten Hills,Commingled Pool 005,Mannville,Flowing,Active,726,726,-114.136067,55.509687,7.47
100081907501W502,Commingled Gas,Marten Hills,Commingled Pool 005,Mannville,Not Applicable,Active,726,726,-114.136067,55.509687,0
100081907501W503,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,726,726,-114.136067,55.509687,0
100081907501W504,Gas,Marten Hills,Commingled Pool 005,Mannville,Flowing,Active,726,726,-114.136067,55.509687,36.72
100111907501W503,Disposal - Water,Marten Hills,Wabamun Undefined,Unspecified,Not Applicable,Active,861.7,861.7,-114.146096,55.513883,0
100052007501W502,Gas,Marten Hills,Commingled Pool 005,Wabiskaw,Suspended,Suspended,714.8,714.8,-114.125079,55.511486,0
100052007501W503,Gas,Marten Hills,Commingled Pool 005,Wabiskaw,Suspended,Suspended,714.8,714.8,-114.125079,55.511486,0
100062007501W500,Gas,Marten Hills,Wabamun C,Unspecified,Suspended,Suspended,725.7,725.7,-114.121734,55.509709,0
100062007501W502,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,725.7,725.7,-114.121734,55.509709,0.2
100032107501W500,Gas,Marten Hills,Commingled Pool 006,Mannville,Suspended,Suspended,699,699,-114.098267,55.507876,0.16
100032107501W502,Gas,Marten Hills,Commingled Pool 006,Mannville,Suspended,Suspended,699,699,-114.098267,55.507876,0
100032107501W503,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,699,699,-114.098267,55.507876,0
102032107501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,700,700,-114.097,55.507924,10.87
100072207501W500,Gas,Marten Hills,Wabamun E,Wabamun,Suspended,Suspended,693.5,693.5,-114.061289,55.511148,0
100072207501W502,Gas,Marten Hills,Commingled Pool 006,Wabamun,Suspended,Suspended,693.5,693.5,-114.061289,55.511148,0
100072207501W503,Gas,Marten Hills,Grand Rapids Z6Z,Wabamun,Suspended,Suspended,693.5,693.5,-114.061289,55.511148,0
100072207501W504,Gas,Marten Hills,Commingled Pool 006,Wabamun,Flowing,Active,693.5,693.5,-114.061289,55.511148,1.8
102072207501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,691,691,-114.062859,55.511024,0
100062307501W500,Gas,Marten Hills,Wabiskaw BB,Unspecified,Suspended,Suspended,713.2,713.2,-114.042664,55.510293,0
100082407501W500,Gas,Marten Hills,Commingled Pool 001,Mannville,Flowing,Active,735,735,-114.007734,55.511886,0.02
100142607501W500,Gas,Marten Hills,Grand Rapids VV,Mannville,Suspended,Suspended,766,766,-114.044495,55.533545,0
102082807501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,722,722,-114.083442,55.523579,0
100142907501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,727.8,727.8,-114.119561,55.530696,1.11
102043007501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,759,759,-114.153212,55.520183,0
100063207501W500,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,797.1,797.1,-114.121143,55.539049,0.21
100053307501W500,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,826,805.84,-114.105157,55.537948,0
100053507501W500,Gas,Marten Hills,Grand Rapids ZZ,Wabamun,Suspended,Suspended,770,770,-114.049988,55.53904,0
100083607501W500,Gas,Marten Hills,Commingled Pool 022,Mannville,Suspended,Suspended,852,852,-114.004105,55.539099,0
100060107502W502,Gas,Marten Hills,Grand Rapids N,Wabamun,Suspended,Suspended,724,724,-114.174503,55.465466,0
100151307502W500,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,745.2,745.2,-114.165287,55.502803,0
102101507502W500,Gas,Marten Hills,Wabiskaw Undefined,Wabiskaw,Suspended,Suspended,683,683,-114.216007,55.501158,0
102101507502W502,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,683,683,-114.216007,55.501158,0
100102307502W500,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,757.4,757.4,-114.190234,55.513411,0
100022507502W500,Gas,Marten Hills,Grand Rapids U3U,Mannville,Suspended,Suspended,772,772,-114.164063,55.52243,0
100022507502W502,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,772,772,-114.164063,55.52243,0
100100407503W500,Gas,Marten Hills,Grand Rapids HH,Keg River,Suspended,Suspended,1857,1857,-114.397238,55.470626,0
100100407503W502,Disposal - Water,Marten Hills,Wabamun Undefined,Keg River,Suspended,Suspended,1857,1857,-114.397238,55.470626,0
100083007503W500,Gas,Marten Hills,Second White Specks A,Mannville,Suspended,Suspended,789,789,-114.443331,55.523192,0
100073207503W503,Gas,Marten Hills,Viking J,Mannville,Suspended,Suspended,854,854,-114.427085,55.539606,0
100073207503W504,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,854,854,-114.427085,55.539606,0
100110407622W400,Gas,Marten Hills,Wabiskaw KK,Graminia,Suspended,Suspended,621,621,-113.359526,55.556843,0
100030507622W400,Gas,Marten Hills,Commingled Pool 020,Mannville,Suspended,Suspended,632,632,-113.383395,55.550704,0
102030507622W400,Oil,Marten Hills,Wabiskaw Undefined,McMurray,Suspended,Suspended,621,621,-113.38436,55.549698,0
100160507622W400,Gas,Marten Hills,Wabiskaw KK,Mannville,Suspended,Suspended,609,609,-113.369934,55.560662,0
100160507622W402,Gas,Marten Hills,Sparky Undefined,Mannville,Suspended,Suspended,609,609,-113.369934,55.560662,0
100030907622W400,Gas,Marten Hills,Wabiskaw KK,Devonian,Suspended,Suspended,610,610,-113.360129,55.565522,0
100030907622W402,Gas,Marten Hills,Grand Rapids Y4Y,Devonian,Suspended,Suspended,610,610,-113.360129,55.565522,0
100151607622W400,Gas,Marten Hills,Wabiskaw KK,McMurray,Suspended,Suspended,649.5,649.5,-113.35596,55.588792,0
100151607622W402,Gas,Marten Hills,Commingled Pool 021,McMurray,Suspended,Suspended,649.5,649.5,-113.35596,55.588792,0
100022107622W403,Gas,Marten Hills,Grand Rapids Undefined,Mannville,Suspended,Suspended,662,662,-113.352518,55.59494,0
100072107622W400,Gas,Marten Hills,Wabiskaw LL,Nisku,Suspended,Suspended,672,672,-113.352983,55.596171,0
100072107622W402,Unspecified,Marten Hills,Unspecified,Nisku,Drilled And Cased,Standing Cased,672,672,-113.352983,55.596171,0
100072107622W403,Gas,Marten Hills,Grand Rapids A7A,Nisku,Suspended,Suspended,672,672,-113.352983,55.596171,0
100060107623W400,Gas,Marten Hills,Grand Rapids A5A,Mannville,Suspended,Suspended,638,638,-113.434722,55.552398,0
100120207623W400,Gas,Marten Hills,Grand Rapids A5A,Wabamun,Suspended,Suspended,665.5,665.5,-113.470226,55.556051,0
100070407623W400,Gas,Marten Hills,Commingled Pool 035,Mannville,Suspended,Suspended,671,671,-113.506354,55.55538,0
100070407623W402,Gas,Marten Hills,Commingled Pool 035,Mannville,Suspended,Suspended,671,671,-113.506354,55.55538,0
100090507623W400,Gas,Marten Hills,Grand Rapids B7B,Wabiskaw,Suspended,Suspended,745.3,712.9,-113.528015,55.556601,0
100070707623W400,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,740,740,-113.558887,55.568019,0
100070707623W402,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,740,740,-113.558887,55.568019,0
100100707623W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,787.9,787.9,-113.559225,55.571685,0
100120807623W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,757,757,-113.546631,55.571326,0
100120807623W402,Gas,Marten Hills,Grand Rapids Q2Q,Wabamun,Suspended,Suspended,757,757,-113.546631,55.571326,0
100130907623W400,Gas,Marten Hills,McMurray B,Wabamun,Test Completed,Testing,742,742,-113.519928,55.574361,0
100130907623W402,Gas,Marten Hills,Wabiskaw I,Wabamun,Pumping,Active,742,742,-113.519928,55.574361,11.73
100130907623W403,Gas,Marten Hills,McMurray B,Wabamun,Flowing,Active,742,742,-113.519928,55.574361,16.24
100031007623W402,Gas,Marten Hills,Commingled Pool 035,Wabamun,Suspended,Suspended,746,677.91,-113.487906,55.560879,0
100031007623W403,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,746,677.91,-113.487906,55.560879,0
100131107623W400,Gas,Marten Hills,Wabiskaw MM,Wabamun,Suspended,Suspended,698,698,-113.46957,55.575489,0
100151607623W403,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,776,776,-113.511503,55.588971,0
100151607623W404,Gas,Marten Hills,Grand Rapids Q4Q,Wabiskaw,Suspended,Suspended,776,776,-113.511503,55.588971,0
100161707623W400,Gas,Marten Hills,Grand Rapids I6I,McMurray,Suspended,Suspended,776,776,-113.529702,55.589606,0.62
100161707623W402,Gas,Marten Hills,Grand Rapids I6I,McMurray,Flowing,Active,776,776,-113.529702,55.589606,10.98
100012007623W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,797,797,-113.530925,55.594598,0
100012007623W402,Gas,Marten Hills,Clearwater B,Wabamun,Suspended,Suspended,797,797,-113.530925,55.594598,0
100022107623W400,Gas,Marten Hills,McMurray M,Mannville,Pumping,Active,812,812,-113.509888,55.594642,1.26
100032107623W400,Gas,Marten Hills,Wabiskaw Q,Wabamun,Suspended,Suspended,795,795,-113.518192,55.594592,0
100032107623W402,Gas,Marten Hills,Clearwater B,Wabamun,Flowing,Active,795,795,-113.518192,55.594592,2.85
100042107623W402,Gas,Marten Hills,Grand Rapids PPP,Paleozoic,Test Completed,Testing,795,795,-113.518761,55.594751,0
100042107623W403,Gas,Marten Hills,Grand Rapids O4O,Paleozoic,Suspended,Suspended,795,795,-113.518761,55.594751,0
100030107624W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,680.1,675.38,-113.596247,55.548714,0
100100107624W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,739.7,739.7,-113.586415,55.557231,0
100120107624W400,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,709,709,-113.601635,55.557052,0
100120107624W402,Gas,Marten Hills,Commingled Pool 028,Mannville,Suspended,Suspended,709,709,-113.601635,55.557052,0
100060207624W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,717.2,717.2,-113.61748,55.553014,0
100060907624W400,Gas,Marten Hills,Commingled Pool 001,McMurray,Suspended,Suspended,845,836.86,-113.67141,55.56933,0
100061107624W400,Gas,Marten Hills,Commingled Pool 028,Wabiskaw,Suspended,Suspended,742,742,-113.618625,55.56735,0
100061107624W402,Gas,Marten Hills,Grand Rapids CC,Wabiskaw,Suspended,Suspended,742,742,-113.618625,55.56735,0
100071207624W402,Gas,Marten Hills,Commingled Pool 028,Wabiskaw,Suspended,Suspended,720,720,-113.589373,55.566295,0
100071207624W403,Gas,Marten Hills,Grand Rapids CC,Wabiskaw,Suspended,Suspended,720,720,-113.589373,55.566295,0
100061407624W400,Gas,Marten Hills,Grand Rapids CC,Mannville,Suspended,Suspended,816.5,816.5,-113.619883,55.581846,0
100072107624W402,Gas,Marten Hills,Clearwater I,Mannville,Suspended,Suspended,882,882,-113.664934,55.596904,0
100072107624W403,Gas,Marten Hills,Clearwater I,Mannville,Suspended,Suspended,882,882,-113.664934,55.596904,0
100072107624W404,Gas,Marten Hills,Grand Rapids Undefined,Mannville,Suspended,Suspended,882,882,-113.664934,55.596904,0
100162807624W400,Gas,Marten Hills,Commingled Pool 032,Mannville,Suspended,Suspended,818,818,-113.657373,55.618709,0
100162807624W402,Gas,Marten Hills,Clearwater I,Mannville,Suspended,Suspended,818,818,-113.657373,55.618709,0
100162807624W403,Gas,Marten Hills,Grand Rapids J6J,Mannville,Suspended,Suspended,818,818,-113.657373,55.618709,0
100022907624W400,Disposal - Water,Marten Hills,McMurray Undefined,Wabamun,Suspended,Suspended,900,900,-113.68711,55.606489,0
100132907624W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Suspended,Suspended,854,854,-113.702857,55.619225,0
100132907624W402,Gas,Marten Hills,Colony Undefined,Mannville,Suspended,Suspended,854,854,-113.702857,55.619225,0
100070207625W400,Gas,Marten Hills,Clearwater J,Mannville,Suspended,Suspended,795,795,-113.767773,55.552958,0
100070207625W402,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,795,795,-113.767773,55.552958,0
100070507625W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,684,684,-113.845233,55.553644,0
100070507625W402,Gas,Marten Hills,Grand Rapids B,Unspecified,Flowing,Active,684,684,-113.845233,55.553644,1.05
102070507625W400,Gas,Marten Hills,Commingled Pool 029,Clearwater,Suspended,Suspended,627,627,-113.845514,55.553506,0
100030607625W400,Bitumen,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,749.5,697.07,-113.883424,55.553417,0
100060707625W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,682.8,682.8,-113.879424,55.566276,2.48
100100807625W400,Gas,Marten Hills,Grand Rapids B,Wabiskaw,Suspended,Suspended,783,651.7,-113.848925,55.57184,0
102100807625W400,Gas,Marten Hills,Grand Rapids B,Grand Rapids,Flowing,Active,803,473.02,-113.844073,55.573689,1.11
100110807625W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,684.3,684.3,-113.851616,55.571699,0.73
102110807625W400,Gas,Marten Hills,Commingled Pool 029,Mannville,Flowing,Active,645,645,-113.853186,55.57139,0.93
100120907625W400,Gas,Marten Hills,Grand Rapids B,Clearwater,Suspended,Suspended,649,649,-113.831863,55.57177,0
102120907625W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Suspended,Suspended,638,638,-113.831705,55.571769,0
100111207625W403,Gas,Marten Hills,Clearwater PPP,Wabiskaw,Suspended,Suspended,824,824,-113.745538,55.569961,0
100111207625W404,Gas,Marten Hills,Clearwater PPP,Wabiskaw,Suspended,Suspended,824,824,-113.745538,55.569961,0
100111307625W400,Gas,Marten Hills,Clearwater PPP,Wabiskaw-McMurray,Suspended,Suspended,797,797,-113.749196,55.584926,0
100111307625W402,Gas,Marten Hills,Grand Rapids Undefined,Wabiskaw-McMurray,Suspended,Suspended,797,797,-113.749196,55.584926,0
100061407625W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,796.4,796.4,-113.773989,55.582732,0
100061407625W402,Gas,Marten Hills,Commingled Pool 034,Unspecified,Suspended,Suspended,796.4,796.4,-113.773989,55.582732,0
